"","action","x1","x2","y1","y2","z1","z2"
"222","on",-11,-11,35,40,-39,0
"223","on",-10,-7,44,44,-39,5
"224","on",-10,-7,16,34,-39,-12
"225","on",-10,-7,35,43,-39,-12
"226","on",-23,-14,10,15,-39,0
"227","on",-13,-12,10,15,-39,0
"228","on",-11,-11,12,15,-39,0
"229","on",-11,-11,10,11,-39,-35
"230","on",-23,-14,-7,9,-39,-30
"231","on",-13,-12,-7,9,-39,-30
"232","on",-11,-11,-7,9,-39,-35
"233","on",-10,-7,-7,-4,-39,-35
"234","on",-10,-7,12,15,-39,-12
"235","on",-10,-7,10,11,-39,-35
"236","on",-10,-7,-3,9,-39,-35
"237","on",8,13,44,44,-39,12
"238","on",21,28,44,44,-39,12
"239","on",18,20,44,44,-39,12
"240","on",14,16,44,44,-39,12
"241","on",17,17,44,44,-39,12
"242","on",1,6,44,44,-39,12
"243","on",7,7,44,44,-39,12
"244","on",-6,0,44,44,-39,5
"245","on",8,13,40,43,-39,-12
"246","on",21,28,40,43,-39,-12
"247","on",18,20,40,43,-39,-12
"248","on",14,16,40,43,-39,-12
"249","on",17,17,40,43,-39,-12
"250","on",1,6,40,43,-39,-12
"251","on",7,7,40,43,-39,-12
"252","on",-6,0,40,43,-39,-12
"253","on",8,13,39,39,-39,-12
"254","on",21,28,39,39,-39,-12
"255","on",18,20,39,39,-39,-12
"256","on",14,16,39,39,-39,-12
"257","on",17,17,39,39,-39,-12
"258","on",1,6,39,39,-39,-12
"259","on",7,7,39,39,-39,-12
"260","on",-6,0,39,39,-39,-12
"261","on",8,13,12,38,-39,-24
"262","on",8,13,-1,11,-39,-35
"263","on",21,28,12,38,-39,-24
"264","on",18,20,12,38,-39,-24
"265","on",14,16,12,38,-39,-24
"266","on",17,17,12,38,-39,-24
"267","on",21,28,-7,11,-39,-35
"268","on",18,20,-7,11,-39,-35
"269","on",14,16,-1,11,-39,-35
"270","on",17,17,-1,11,-39,-35
"271","on",1,6,12,38,-39,-24
"272","on",7,7,12,38,-39,-24
"273","on",-6,0,12,34,-39,-24
"274","on",-6,0,35,38,-39,-24
"275","on",1,6,10,11,-39,-35
"276","on",7,7,10,11,-39,-35
"277","on",-6,0,10,11,-39,-35
"278","on",1,6,-1,9,-39,-35
"279","on",7,7,-1,9,-39,-35
"280","on",-6,0,-7,9,-39,-35
"281","on",42,44,-48,-8,-37,14
"282","on",42,44,-7,3,-37,-24
"283","on",38,41,-48,-13,-37,14
"284","on",30,37,-48,-37,-37,14
"285","on",29,29,-48,-40,-37,14
"286","on",29,29,-39,-37,-37,-16
"287","on",29,29,-39,-37,5,14
"288","on",21,28,-48,-40,-37,14
"289","on",18,20,-48,-40,-37,14
"290","on",21,28,-39,-37,-37,-16
"291","on",18,20,-39,-37,-37,-16
"292","on",21,28,-39,-37,5,14
"293","on",18,20,-39,-37,5,14
"294","on",14,16,-48,-37,-37,14
"295","on",17,17,-48,-40,-37,14
"296","on",17,17,-39,-37,-37,-16
"297","on",17,17,-39,-37,5,14
"298","on",30,37,-36,-13,-37,-35
"299","on",29,29,-29,-13,-37,-35
"300","on",29,29,-36,-30,-37,-35
"301","on",21,28,-29,-13,-37,-35
"302","on",18,20,-29,-27,-37,-35
"303","on",18,20,-26,-13,-37,-35
"304","on",21,28,-36,-30,-37,-35
"305","on",18,20,-36,-30,-37,-35
"306","on",14,16,-36,-27,-37,-35
"307","on",14,16,-26,-14,-37,-35
"308","on",17,17,-29,-27,-37,-35
"309","on",17,17,-26,-14,-37,-35
"310","on",17,17,-36,-30,-37,-35
"311","on",30,37,-36,-13,13,14
"312","on",29,29,-29,-13,13,14
"313","on",29,29,-36,-30,13,14
"314","on",21,28,-29,-13,13,14
"315","on",18,20,-29,-27,13,14
"316","on",18,20,-26,-13,13,14
"317","on",21,28,-36,-30,13,14
"318","on",18,20,-36,-30,13,14
"319","on",14,16,-36,-27,13,14
"320","on",14,16,-26,-14,13,14
"321","on",17,17,-29,-27,13,14
"322","on",17,17,-26,-14,13,14
"323","on",17,17,-36,-30,13,14
"324","on",14,16,-13,-13,13,14
"325","on",17,17,-13,-13,13,14
"326","on",8,13,-48,-37,-37,14
"327","on",8,13,-36,-35,-37,-35
"328","on",8,13,-36,-35,13,14
"329","on",1,6,-48,-40,-37,14
"330","on",7,7,-48,-40,-37,14
"331","on",-1,0,-48,-40,-37,14
"332","on",1,6,-39,-37,-37,-30
"333","on",7,7,-39,-37,-37,-30
"334","on",-1,0,-39,-37,-37,-30
"335","on",1,6,-36,-35,-37,-35
"336","on",7,7,-36,-35,-37,-35
"337","on",-1,0,-36,-35,-37,-35
"338","on",8,13,-34,-27,-37,-35
"339","on",8,13,-26,-14,-37,-35
"340","on",1,6,-34,-14,-37,-35
"341","on",7,7,-34,-27,-37,-35
"342","on",7,7,-26,-14,-37,-35
"343","on",-1,0,-34,-13,-37,-35
"344","on",38,41,-12,-8,-37,-11
"345","on",30,37,-12,-8,-37,-35
"346","on",29,29,-12,-8,-37,-35
"347","on",21,28,-12,-8,-37,-35
"348","on",18,20,-11,-8,-37,-35
"349","on",18,20,-12,-12,-37,-35
"350","on",38,41,-7,3,-37,-24
"351","on",30,37,-7,3,-37,-35
"352","on",29,29,-7,3,-37,-35
"353","on",-1,0,-12,-8,-37,-35
"354","on",48,49,-27,26,-33,12
"355","on",45,47,-27,-8,-33,12
"356","on",45,47,-7,26,-33,-24
"357","on",42,44,4,26,-33,-24
"358","on",38,41,4,26,-33,-24
"359","on",30,37,12,26,-33,-24
"360","on",29,29,12,26,-33,-24
"361","on",-41,-34,10,32,-22,29
"362","on",-41,-34,-17,9,23,29
"363","on",-33,-32,16,32,-22,29
"364","on",-31,-26,16,32,-22,0
"365","on",-25,-24,16,32,-22,0
"366","on",-33,-32,10,15,-22,2
"367","on",-31,-26,10,15,-22,0
"368","on",-25,-24,10,15,-22,0
"369","on",-13,-12,45,47,-2,45
"370","on",-13,-12,41,44,6,45
"371","on",-13,-12,35,40,6,15
"372","on",-11,-11,45,47,-2,45
"373","on",-11,-11,41,44,6,45
"374","on",-11,-11,35,40,6,15
"375","on",-10,-7,45,47,-2,45
"376","on",-10,-7,44,44,6,45
"377","on",-10,-7,41,43,6,15
"378","on",-10,-7,35,40,6,15
"379","on",-10,-7,41,43,39,45
"380","on",-25,-24,41,47,-2,45
"381","on",-23,-14,45,47,-2,45
"382","on",-23,-14,41,44,13,45
"383","on",-25,-24,33,40,-2,0
"384","on",-31,-26,41,47,-2,45
"385","on",-31,-26,33,40,-2,0
"386","on",-6,0,45,47,-2,45
"387","on",-6,0,44,44,6,45
"388","on",-6,0,41,43,6,15
"389","on",-6,0,40,40,6,15
"390","on",-6,0,41,43,39,45
"391","on",-6,0,35,39,6,15
"392","on",21,21,45,47,-2,45
"393","on",18,20,45,47,-2,45
"394","on",14,16,45,47,-2,45
"395","on",17,17,45,47,-2,45
"396","on",21,21,44,44,13,45
"397","on",18,20,44,44,13,45
"398","on",14,16,44,44,13,45
"399","on",17,17,44,44,13,45
"400","on",21,21,40,43,39,45
"401","on",18,20,40,43,39,45
"402","on",14,16,40,43,39,45
"403","on",17,17,40,43,39,45
"404","on",1,6,45,47,-2,45
"405","on",7,7,45,47,-2,45
"406","on",1,6,44,44,13,45
"407","on",7,7,44,44,13,45
"408","on",8,13,45,47,-2,45
"409","on",8,13,44,44,13,45
"410","on",1,6,41,43,39,45
"411","on",7,7,41,43,39,45
"412","on",8,13,41,43,39,45
"413","on",21,21,-6,39,43,45
"414","on",18,20,-6,39,43,45
"415","on",14,16,-1,39,43,45
"416","on",17,17,-1,39,43,45
"417","on",14,16,-6,-2,43,45
"418","on",17,17,-6,-2,43,45
"419","on",-40,-34,33,48,-29,17
"420","on",-40,-34,10,32,-29,-23
"421","on",-13,-12,48,48,-29,17
"422","on",-13,-12,45,47,-29,-3
"423","on",-11,-11,48,48,-29,17
"424","on",-11,-11,45,47,-29,-3
"425","on",-10,-7,48,48,-29,17
"426","on",-10,-7,45,47,-29,-3
"427","on",-25,-24,48,48,-29,17
"428","on",-25,-24,41,47,-29,-3
"429","on",-23,-14,48,48,-29,17
"430","on",-23,-14,45,47,-29,-3
"431","on",-25,-24,33,40,-29,-3
"432","on",-25,-24,16,32,-29,-23
"433","on",-25,-24,10,15,-29,-23
"434","on",-33,-32,33,48,-29,17
"435","on",-33,-32,16,32,-29,-23
"436","on",-31,-26,48,48,-29,17
"437","on",-31,-26,41,47,-29,-3
"438","on",-31,-26,33,40,-29,-3
"439","on",-31,-26,16,32,-29,-23
"440","on",-33,-32,10,15,-29,-23
"441","on",-31,-26,10,15,-29,-23
"442","on",-6,0,48,48,-29,17
"443","on",-6,0,45,47,-29,-3
"444","on",8,13,48,48,-29,17
"445","on",8,13,45,47,-29,-3
"446","on",1,6,48,48,-29,17
"447","on",7,7,48,48,-29,17
"448","on",1,6,45,47,-29,-3
"449","on",7,7,45,47,-29,-3
"450","on",-13,-12,-18,-8,-39,-30
"451","on",-11,-11,-18,-8,-39,-35
"452","on",-10,-7,-18,-8,-39,-35
"453","on",-20,-14,-18,-8,-39,-30
"454","on",-6,-2,-18,-13,-39,-35
"455","on",-1,0,-18,-13,-39,-38
"456","on",-6,-2,-12,-8,-39,-35
"457","on",-1,0,-12,-8,-39,-38
"458","on",17,17,-13,-13,-39,-34
"459","on",17,17,-18,-14,-39,-38
"460","on",17,17,-11,-8,-39,-34
"461","on",17,17,-12,-12,-39,-34
"462","on",17,17,-7,-2,-39,-34
"463","on",14,16,-13,-13,-39,-34
"464","on",14,16,-18,-14,-39,-38
"465","on",8,13,-13,-13,-39,-34
"466","on",1,6,-13,-13,-39,-34
"467","on",7,7,-13,-13,-39,-34
"468","on",8,13,-18,-14,-39,-38
"469","on",1,6,-18,-14,-39,-38
"470","on",7,7,-18,-14,-39,-38
"471","on",14,16,-11,-8,-39,-34
"472","on",14,16,-12,-12,-39,-34
"473","on",14,16,-7,-2,-39,-34
"474","on",8,13,-11,-8,-39,-34
"475","on",8,13,-12,-12,-39,-34
"476","on",1,6,-12,-8,-39,-34
"477","on",7,7,-11,-8,-39,-34
"478","on",7,7,-12,-12,-39,-34
"479","on",8,13,-7,-2,-39,-34
"480","on",1,6,-7,-2,-39,-34
"481","on",7,7,-7,-2,-39,-34
"482","on",21,24,-18,-13,-39,-38
"483","on",18,20,-18,-13,-39,-38
"484","on",21,24,-12,-8,-39,-38
"485","on",18,20,-11,-8,-39,-38
"486","on",18,20,-12,-12,-39,-38
"487","on",-37,-34,10,30,30,38
"488","on",-37,-34,-17,9,30,38
"489","on",-33,-32,16,30,30,38
"490","on",8,8,-13,-13,-14,-8
"491","on",7,7,-13,-13,-14,-8
"492","on",8,8,-17,-14,-14,-8
"493","on",7,7,-17,-14,-14,-8
"494","on",8,8,-12,-12,-14,-8
"495","on",7,7,-12,-12,-14,-8
"496","on",66057,67432,31204,37531,-22848,-16872
"497","on",65990,66056,31204,37531,-22848,-16872
"498","on",65606,65989,31204,37531,-22848,-16872
"499","on",66057,67432,27031,31203,-22848,-16872
"500","on",65990,66056,27031,31203,-22848,-16872
"501","on",65606,65989,27031,31203,-22848,-16872
"502","on",64785,65605,31204,37531,-22848,-16872
"503","on",64785,65605,27031,31203,-22848,-16872
"504","on",64182,64784,31204,37531,-22848,-16872
"505","on",64182,64784,27031,31203,-22848,-16872
"506","on",63674,64181,31204,37531,-22848,-16872
"507","on",63674,64181,27031,31203,-22848,-16872
"508","on",67433,68403,31204,37531,-22848,-16872
"509","on",67433,68403,27031,31203,-22848,-16872
"510","on",70105,72237,31204,37531,-22848,-16872
"511","on",69902,70104,31204,37531,-22848,-16872
"512","on",68404,69901,31204,37531,-22848,-16872
"513","on",70105,72237,27031,31203,-22848,-16872
"514","on",69902,70104,27031,31203,-22848,-16872
"515","on",68404,69901,27031,31203,-22848,-16872
"516","on",-51990,-51434,-78503,-64461,-752,35650
"517","on",-51990,-51434,-64460,-48525,-752,35650
"518","on",-49997,-49174,-78503,-64461,-752,35650
"519","on",-49173,-48414,-78503,-64461,-752,35650
"520","on",-51433,-49998,-78503,-64461,-752,35650
"521","on",-49997,-49174,-64460,-48525,-752,35650
"522","on",-49173,-48414,-64460,-48525,-752,35650
"523","on",-51433,-49998,-64460,-48525,-752,35650
"524.1","on",-48321,-47696,-78503,-64461,-752,35650
"524.2","on",-48413,-48322,-78503,-64461,-752,35650
"525.1","on",-48321,-47696,-64460,-48525,-752,35650
"525.2","on",-48413,-48322,-64460,-48525,-752,35650
"526","on",-47695,-47121,-78503,-64461,-752,35650
"527","on",-47695,-47121,-64460,-48525,-752,35650
"528","on",-41800,-39794,-78503,-48525,-752,35650
"529","on",-39793,-39386,-78503,-48525,-752,35650
"530","on",-39385,-38299,-63415,-48525,-752,35650
"531","on",-39385,-38299,-78503,-63416,-752,15355
"532","on",-39385,-38299,-78503,-63416,33522,35650
"533","on",-42194,-41801,-78503,-48525,-752,35650
"534","on",-43105,-42195,-78503,-48525,-752,35650
"535","on",-43509,-43106,-78503,-64461,-752,35650
"536","on",-43509,-43106,-64460,-48525,-752,35650
"537","on",-43547,-43510,-78503,-64461,-752,35650
"538","on",-43547,-43510,-64460,-48525,-752,35650
"539","on",-46148,-43548,-78503,-64461,-752,35650
"540","on",-46359,-46149,-78503,-64461,-752,35650
"541","on",-46148,-43548,-64460,-48525,-752,35650
"542","on",-46359,-46149,-64460,-48525,-752,35650
"543","on",-46706,-46360,-78503,-64461,-752,35650
"544","on",-47120,-46707,-78503,-64461,-752,35650
"545","on",-46706,-46360,-64460,-48525,-752,35650
"546","on",-47120,-46707,-64460,-48525,-752,35650
"547","on",-38298,-37414,-63415,-48525,-752,35650
"548","on",-38298,-37414,-78503,-63416,-752,15355
"549","on",-38298,-37414,-78503,-63416,33522,35650
"550","on",-37413,-35385,-63415,-48525,-752,35650
"551","on",-37413,-35385,-78503,-63416,-752,15355
"552","on",-37413,-35385,-78503,-63416,33522,35650
"553","on",32188,33313,35477,37368,-58213,-50913
"554","on",30889,31511,35477,37368,-58213,-50913
"555","on",28258,30888,35477,37368,-58213,-50913
"556","on",27632,28257,35477,37368,-58213,-50913
"557","on",31512,32187,35477,37368,-58213,-50913
"558","on",32188,33313,52515,60039,-58213,-50913
"559","on",30889,31511,52515,55458,-58213,-50913
"560","on",28258,30888,52515,55458,-58213,-50913
"561","on",27632,28257,52515,55458,-58213,-50913
"562","on",31512,32187,52515,55458,-58213,-50913
"563","on",30889,31511,55459,60039,-58213,-50913
"564","on",28258,30888,55459,60039,-58213,-50913
"565","on",27632,28257,55459,60039,-58213,-50913
"566","on",31512,32187,55459,60039,-58213,-50913
"567","on",32188,33313,60040,62597,-58213,-50913
"568","on",30889,31511,60040,62597,-58213,-50913
"569","on",28258,30888,60040,62597,-58213,-50913
"570","on",27632,28257,60040,62597,-58213,-50913
"571","on",31512,32187,60040,62597,-58213,-50913
"572","on",32188,33313,40086,52514,-58213,-50913
"573","on",32188,33313,37369,40085,-58213,-50913
"574","on",30889,31511,40086,52514,-58213,-50913
"575","on",30889,31511,37369,40085,-58213,-50913
"576","on",28258,30888,40086,52514,-58213,-50913
"577","on",28258,30888,37369,40085,-58213,-50913
"578","on",27632,28257,40086,52514,-58213,-50913
"579","on",27632,28257,37369,40085,-58213,-50913
"580","on",31512,32187,40086,52514,-58213,-50913
"581","on",31512,32187,37369,40085,-58213,-50913
"582","on",74146,74495,-45869,-44124,-39225,-23259
"583","on",73087,74145,-45869,-44124,-39225,-23259
"584","on",72947,73086,-45869,-45484,-39225,-23259
"585","on",72947,73086,-45483,-44124,-39225,-23259
"586","on",74146,74495,-28045,-26778,-39225,-17500
"587","on",73087,74145,-28045,-26778,-39225,-17500
"588","on",72947,73086,-28012,-26778,-39225,-17500
"589","on",72947,73086,-28045,-28013,-39225,-17500
"590","on",74146,74495,-28804,-28046,-39225,-23259
"591","on",73087,74145,-28804,-28046,-39225,-23259
"592","on",72947,73086,-28804,-28046,-39225,-23259
"593","on",74146,74495,-17365,-13775,-39225,-17500
"594","on",73087,74145,-17365,-13775,-39225,-17500
"595","on",72947,73086,-17365,-13775,-39225,-17500
"596","on",74146,74495,-26777,-17366,-39225,-17500
"597","on",73087,74145,-26777,-17366,-39225,-17500
"598","on",72947,73086,-26777,-17366,-39225,-17500
"599","on",74146,74495,-44123,-30126,-39225,-38055
"600","on",73087,74145,-44123,-30126,-39225,-38055
"601","on",72947,73086,-44123,-30126,-39225,-38055
"602","on",74146,74495,-30125,-28993,-39225,-38055
"603","on",73087,74145,-30125,-28993,-39225,-38055
"604","on",74146,74495,-28992,-28805,-39225,-38055
"605","on",73087,74145,-28992,-28805,-39225,-38055
"606","on",72947,73086,-30125,-28993,-39225,-38055
"607","on",72947,73086,-28992,-28805,-39225,-38055
"608","on",74146,74495,-44123,-30126,-29691,-23259
"609","on",73087,74145,-44123,-30126,-29691,-23259
"610","on",72947,73086,-44123,-30126,-29691,-23259
"611","on",74146,74495,-30125,-28993,-29691,-23259
"612","on",73087,74145,-30125,-28993,-29691,-23259
"613","on",74146,74495,-28992,-28805,-29691,-23259
"614","on",73087,74145,-28992,-28805,-29691,-23259
"615","on",72947,73086,-30125,-28993,-29691,-23259
"616","on",72947,73086,-28992,-28805,-29691,-23259
"617","on",66057,67432,-45869,-45484,-39225,-23259
"618","on",65990,66056,-45869,-45484,-39225,-23259
"619","on",65890,65989,-45869,-45484,-39225,-23259
"620","on",66057,67432,-45483,-44124,-39225,-23259
"621","on",65990,66056,-45483,-44124,-39225,-23259
"622","on",65890,65989,-45483,-44124,-39225,-23259
"623","on",67433,68403,-45869,-45484,-39225,-23259
"624","on",67433,68403,-45483,-44124,-39225,-23259
"625","on",70105,72946,-45869,-45484,-39225,-23259
"626","on",69902,70104,-45869,-45484,-39225,-23259
"627","on",68404,69901,-45869,-45484,-39225,-23259
"628","on",70105,72946,-45483,-44124,-39225,-23259
"629","on",69902,70104,-45483,-44124,-39225,-23259
"630","on",68404,69901,-45483,-44124,-39225,-23259
"631","on",66057,67432,-28012,-26778,-39225,-14722
"632","on",65990,66056,-28012,-26778,-39225,-14722
"633","on",65890,65989,-28012,-26778,-39225,-14722
"634","on",66057,67432,-28045,-28013,-39225,-14722
"635","on",65990,66056,-28045,-28013,-39225,-14722
"636","on",65890,65989,-28045,-28013,-39225,-14722
"637","on",66057,67432,-28804,-28046,-39225,-23259
"638","on",65990,66056,-28804,-28046,-39225,-23259
"639","on",65890,65989,-28804,-28046,-39225,-23259
"640","on",66057,67432,-14652,-13775,-39225,-14722
"641","on",65990,66056,-14652,-13775,-39225,-14722
"642","on",65890,65989,-14652,-13775,-39225,-14722
"643","on",66057,67432,-17365,-14653,-21753,-14722
"644","on",65990,66056,-17365,-14653,-21753,-14722
"645","on",65890,65989,-17365,-14653,-21753,-14722
"646","on",66057,67432,-26777,-26684,-39225,-14722
"647","on",65990,66056,-26777,-26684,-39225,-14722
